genre,tag,genre number,name,seg,nopunc,focal,compare,stopwords,delimiters,max_cost,120,10,5,2,1,sentence
G10,Classics,01,shijing,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,46,7,3,1,0,25
G10,Classics,01,shijing,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,42,4,1,0,0,23
G10,Classics,01,shijing,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,190,46,21,11,9,112
G10,Classics,01,shijing,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,75,32,18,11,4,32
G10,Classics,01,shijing,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,1617,516,294,143,74,931
G10,Classics,01,shijing,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,468,217,130,60,32,289
G10,Classics,01,shijing,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,1784,322,202,98,45,971
G10,Classics,01,shijing,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,814,124,76,24,7,378
G10,Classics,01,shijing,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,12,5,3,1,0,6
G10,Classics,01,shijing,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,212,36,22,11,3,86
G10,Classics,01,shijing,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,156,9,6,2,1,79
G10,Classics,02,shangshu,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,69,7,1,0,0,39
G10,Classics,02,shangshu,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,34,1,0,0,0,14
G10,Classics,02,shangshu,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,402,115,65,37,28,212
G10,Classics,02,shangshu,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,58,23,15,7,5,38
G10,Classics,02,shangshu,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,5801,1169,592,269,143,3399
G10,Classics,02,shangshu,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,1077,458,284,138,75,691
G10,Classics,02,shangshu,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,4807,1431,842,356,196,2617
